protocol_version,protocol_commit,question_id,category,system_id,run_number,pilot_only,system_config_hash,started_at_utc,completed_at_utc,duration_ms,first_event_ms,terminal_status,retry_count,answer_path,sources_path,event_log_path,usage_receipt_path,search_cost,fetch_cost,model_cost,tabstack_credits,tabstack_cost,total_cost,currency,material_claims,correct_claims,partial_claims,incorrect_claims,unscorable_claims,citation_pairs,fully_supported_citation_pairs,partly_supported_citation_pairs,unsupported_citation_pairs,citable_material_claims,cited_material_claims,citation_completeness_pct,coverage_points_available,coverage_points_earned,source_quality_points,source_quality_max,freshness_points,freshness_max,uncertainty_score,blind_answer_id,evaluator_id,scoring_status,failure_reason,notes
v1,22c1613a8e2546acb429c818d61a5327706004ed,Q01,simple_source_discovery,tabstack_research_fast,2,true,c7a6f61cc520eb46,2026-09-15T20:31:39.716Z,2026-09-15T20:31:56.383Z,16666,720,complete,0,evals/runs/20260915T203139-pilot/Q01/tabstack_research_fast/run-2/answer.md,evals/runs/20260915T203139-pilot/Q01/tabstack_research_fast/run-2/sources.json,evals/runs/20260915T203139-pilot/Q01/tabstack_research_fast/run-2/events.sanitized.jsonl,evals/runs/20260915T203139-pilot/Q01/tabstack_research_fast/run-2/usage-receipt.json,,,,,,,USD,,,,,,,,,,,,,,,,,,,,b06c4e77,,unscored,,
v1,22c1613a8e2546acb429c818d61a5327706004ed,Q01,simple_source_discovery,search_fetch_model,2,true,595e71f9c9e0abf5,2026-09-15T20:31:56.384Z,2026-09-15T20:33:05.820Z,69434,,complete,0,evals/runs/20260915T203139-pilot/Q01/search_fetch_model/run-2/answer.md,evals/runs/20260915T203139-pilot/Q01/search_fetch_model/run-2/sources.json,evals/runs/20260915T203139-pilot/Q01/search_fetch_model/run-2/events.sanitized.jsonl,evals/runs/20260915T203139-pilot/Q01/search_fetch_model/run-2/usage-receipt.json,,,,,,,USD,,,,,,,,,,,,,,,,,,,,46abbf65,,unscored,,
